# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Cu1
# Reduced formula:  Cu
# space group: (Fm-3m), space number:  (225)
# abc:  2.529625   2.529625   2.529625
# angles: 60.000000  60.000000  60.000000
# sites: 1
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.433 Rnm= 1.488 K  shell
# Pot 1 Z=29 Rmt= 1.359 Rnm= 1.402
# Gam_ch=1.729E+00 H-L exch
# Mu=-3.472E+00 kf=1.806E+00 Vint=-1.591E+01 Rs_int= 2.008
# PATH  Rmax= 4.425,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.5296
#           2       0.00000     23.24      6.00     2   3.5774
#           3       0.00000     12.39     48.00     3   3.7944
#           4       0.00000      9.23     48.00     3   4.3183
#           5       0.00000     56.14     24.00     2   4.3814
#     5/   5 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0000   -8.496816E-01  8.497103E-01 -1.579007E+00
     0.0500   -8.489418E-01  8.489435E-01 -1.568847E+00
     0.1000   -8.480919E-01  8.481541E-01 -1.558690E+00
     0.1500   -8.449927E-01  8.457425E-01 -1.528687E+00
     0.2000   -8.409510E-01  8.431409E-01 -1.498707E+00
     0.2500   -8.325143E-01  8.386075E-01 -1.450176E+00
     0.3000   -8.217198E-01  8.336085E-01 -1.401706E+00
     0.3500   -8.037998E-01  8.263745E-01 -1.336519E+00
    12.1000    4.224639E-03  7.025621E-02  4.706372E+01
    12.1500   -1.568300E-02  6.685750E-02  4.736067E+01
    12.2000   -3.197649E-02  6.306964E-02  4.765559E+01
    12.2500   -4.325228E-02  5.893840E-02  4.794787E+01
    12.3000   -4.889485E-02  5.451356E-02  4.823667E+01
    12.3500   -4.909776E-02  4.984917E-02  4.852084E+01
    12.4000   -4.476082E-02  4.500433E-02  4.879876E+01
    12.4500   -3.728608E-02  4.004487E-02  4.906804E+01
    12.5000   -2.831068E-02  3.504673E-02  4.932508E+01
    12.5500   -1.942304E-02  3.010259E-02  4.956416E+01
    12.6000   -1.190948E-02  2.533540E-02  4.977611E+01
    12.6500   -6.571281E-03  2.092528E-02  4.994604E+01
    12.7000   -3.638425E-03  1.715891E-02  5.005182E+01
    12.7500   -2.789225E-03  1.448592E-02  5.007173E+01
    12.8000   -3.266564E-03  1.343593E-02  5.001990E+01
    12.8500   -4.065648E-03  1.418665E-02  4.997482E+01
    12.9000   -4.156979E-03  1.629363E-02  5.000750E+01
    12.9500   -2.703691E-03  1.911997E-02  5.012360E+01
    13.0000    7.650821E-04  2.220824E-02  5.029994E+01
    13.0500    6.310200E-03  2.539118E-02  5.051663E+01
    13.1000    1.345913E-02  2.843643E-02  5.075852E+01
    13.1500    2.133598E-02  3.125072E-02  5.101698E+01
    13.2000    2.879959E-02  3.377372E-02  5.128666E+01
    13.2500    3.464083E-02  3.596474E-02  5.156410E+01
    13.3000    3.779388E-02  3.779607E-02  5.184702E+01
    13.3500    3.752474E-02  3.924931E-02  5.213382E+01
    13.4000    3.356454E-02  4.031345E-02  5.242331E+01
    13.4500    2.616548E-02  4.098365E-02  5.271461E+01
    13.5000    1.607080E-02  4.126052E-02  5.300699E+01
    13.5500    4.404636E-03  4.114956E-02  5.329983E+01
    13.6000   -7.498362E-03  4.066091E-02  5.359255E+01
