# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Cu1
# Reduced formula:  Cu
# space group: (Fm-3m), space number:  (225)
# abc:  2.529625   2.529625   2.529625
# angles: 60.000000  60.000000  60.000000
# sites: 1
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.433 Rnm= 1.488 K  shell
# Pot 1 Z=29 Rmt= 1.359 Rnm= 1.402
# Gam_ch=1.729E+00 H-L exch
# Mu=-3.472E+00 kf=1.806E+00 Vint=-1.591E+01 Rs_int= 2.008
# PATH  Rmax= 4.425,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.5296
#           2       0.00000     23.24      6.00     2   3.5774
#           3       0.00000     12.39     48.00     3   3.7944
#           4       0.00000      9.23     48.00     3   4.3183
#           5       0.00000     56.14     24.00     2   4.3814
#     5/   5 paths used
#  xsedge+50, used to normalize mu           2.4815E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    9183.304    191.304   7.150  9.97705E-01  9.84413E-01  1.33221E-02
    9186.037    194.038   7.200  1.02455E+00  9.83634E-01  4.10569E-02
    9188.790    196.790   7.250  1.04115E+00  9.82856E-01  5.85560E-02
    9191.562    199.562   7.300  1.04741E+00  9.82077E-01  6.57078E-02
    9194.353    202.353   7.350  1.04486E+00  9.81299E-01  6.39940E-02
    9197.162    205.163   7.400  1.03623E+00  9.80520E-01  5.61504E-02
    9199.991    207.992   7.450  1.02497E+00  9.79741E-01  4.56420E-02
    9202.839    210.840   7.500  1.01463E+00  9.78963E-01  3.60367E-02
    9205.706    213.707   7.550  1.00778E+00  9.77719E-01  3.04155E-02
    9208.592    216.593   7.600  1.00682E+00  9.76475E-01  3.07619E-02
    9211.497    219.498   7.650  1.01230E+00  9.75231E-01  3.76357E-02
    9214.422    222.422   7.700  1.02322E+00  9.73987E-01  5.00663E-02
    9217.365    225.365   7.750  1.03725E+00  9.72743E-01  6.57127E-02
    9220.327    228.328   7.800  1.05113E+00  9.71499E-01  8.12573E-02
    9223.308    231.309   7.850  1.06122E+00  9.70255E-01  9.29711E-02
    9226.309    234.309   7.900  1.06411E+00  9.69011E-01  9.73562E-02
    9229.328    237.329   7.950  1.05725E+00  9.67767E-01  9.17650E-02
    9232.367    240.367   8.000  1.03943E+00  9.66523E-01  7.48948E-02
    9235.424    243.425   8.050  1.01089E+00  9.65322E-01  4.68776E-02
    9238.501    246.501   8.100  9.73786E-01  9.64121E-01  9.95976E-03
    9241.596    249.597   8.150  9.31600E-01  9.62919E-01 -3.23232E-02
    9244.711    252.711   8.200  8.88740E-01  9.61718E-01 -7.54347E-02
    9247.845    255.845   8.250  8.49957E-01  9.60516E-01 -1.14460E-01
    9250.997    258.998   8.300  8.19675E-01  9.59315E-01 -1.44795E-01
    9254.169    262.170   8.350  8.01367E-01  9.58113E-01 -1.62789E-01
    9257.360    265.361   8.400  7.97080E-01  9.56912E-01 -1.66256E-01
    9260.570    268.571   8.450  8.07159E-01  9.55710E-01 -1.54766E-01
    9263.799    271.799   8.500  8.30224E-01  9.54509E-01 -1.29689E-01
    9267.047    275.047   8.550  8.63876E-01  9.53656E-01 -9.37888E-02
    9270.314    278.315   8.600  9.03681E-01  9.52803E-01 -5.13736E-02
    9273.600    281.601   8.650  9.45103E-01  9.51951E-01 -7.16979E-03
    9276.905    284.906   8.700  9.83711E-01  9.51098E-01  3.41837E-02
    9280.230    288.230   8.750  1.01575E+00  9.50245E-01  6.87428E-02
    9283.573    291.573   8.800  1.03862E+00  9.49393E-01  9.37341E-02
    9286.935    294.936   8.850  1.05107E+00  9.48540E-01  1.07832E-01
    9290.316    298.317   8.900  1.05331E+00  9.47687E-01  1.11207E-01
    9293.717    301.717   8.950  1.04677E+00  9.46835E-01  1.05346E-01
    9297.136    305.137   9.000  1.03382E+00  9.45982E-01  9.26905E-02
    9300.575    308.575   9.050  1.01739E+00  9.45299E-01  7.61369E-02
    9304.032    312.033   9.100  1.00005E+00  9.44617E-01  5.85971E-02
    9307.509    315.509   9.150  9.84073E-01  9.43934E-01  4.24673E-02
    9311.005    319.005   9.200  9.70923E-01  9.43252E-01  2.93017E-02
    9314.519    322.520   9.250  9.61112E-01  9.42569E-01  1.96524E-02
    9318.053    326.054   9.300  9.54238E-01  9.41887E-01  1.31018E-02
    9321.606    329.606   9.350  9.49185E-01  9.41204E-01  8.47266E-03
    9325.178    333.178   9.400  9.44444E-01  9.40522E-01  4.16831E-03
    9328.769    336.769   9.450  9.38500E-01  9.39839E-01 -1.42371E-03
    9332.379    340.379   9.500  9.30194E-01  9.39157E-01 -9.54018E-03
    9336.008    344.008   9.550  9.18774E-01  9.38309E-01 -2.08140E-02
    9339.656    347.656   9.600  9.04732E-01  9.37462E-01 -3.49057E-02
    9343.323    351.323   9.650  8.89171E-01  9.36615E-01 -5.06461E-02
    9347.009    355.009   9.700  8.73842E-01  9.35768E-01 -6.61687E-02
    9350.714    358.715   9.750  8.60856E-01  9.34921E-01 -7.92155E-02
    9354.438    362.439   9.800  8.52316E-01  9.34074E-01 -8.75273E-02
    9358.182    366.182   9.850  8.49939E-01  9.33227E-01 -8.92506E-02
    9361.944    369.945   9.900  8.54731E-01  9.32380E-01 -8.32883E-02
    9365.726    373.726   9.950  8.66770E-01  9.31533E-01 -6.95337E-02
    9369.526    377.526  10.000  8.85141E-01  9.30686E-01 -4.89471E-02
    9373.345    381.346  10.050  9.07790E-01  9.29583E-01 -2.34475E-02
    9377.184    385.185  10.100  9.32576E-01  9.28479E-01  4.41263E-03
    9381.042    389.042  10.150  9.56698E-01  9.27376E-01  3.16213E-02
    9384.918    392.919  10.200  9.77429E-01  9.26273E-01  5.52322E-02
    9388.814    396.815  10.250  9.92506E-01  9.25169E-01  7.27862E-02
    9392.729    400.729  10.300  1.00044E+00  9.24066E-01  8.26567E-02
    9396.663    404.663  10.350  1.00073E+00  9.22963E-01  8.42623E-02
    9400.615    408.616  10.400  9.93875E-01  9.21859E-01  7.81166E-02
    9404.587    412.588  10.450  9.81261E-01  9.20756E-01  6.57079E-02
    9408.578    416.579  10.500  9.64934E-01  9.19653E-01  4.92327E-02
    9412.588    420.589  10.550  9.47238E-01  9.18550E-01  3.12283E-02
    9416.617    424.618  10.600  9.30445E-01  9.17446E-01  1.41663E-02
    9420.665    428.666  10.650  9.16412E-01  9.16343E-01  7.49449E-05
    9424.733    432.733  10.700  9.06313E-01  9.15240E-01 -9.75091E-03
    9428.819    436.819  10.750  9.00508E-01  9.14136E-01 -1.49050E-02
    9432.924    440.925  10.800  8.98539E-01  9.13033E-01 -1.58699E-02
    9437.048    445.049  10.850  8.99281E-01  9.11930E-01 -1.38662E-02
    9441.192    449.192  10.900  9.01186E-01  9.10826E-01 -1.05803E-02
    9445.354    453.355  10.950  9.02607E-01  9.09723E-01 -7.81979E-03
    9449.536    457.536  11.000  9.02113E-01  9.08620E-01 -7.15816E-03
    9453.736    461.737  11.050  8.98899E-01  9.07643E-01 -9.62871E-03
    9457.956    465.956  11.100  8.92496E-01  9.06666E-01 -1.56198E-02
    9462.194    470.195  11.150  8.83360E-01  9.05690E-01 -2.46367E-02
    9466.452    474.452  11.200  8.72658E-01  9.04713E-01 -3.54014E-02
    9470.729    478.729  11.250  8.62070E-01  9.03736E-01 -4.60609E-02
    9475.024    483.025  11.300  8.53503E-01  9.02760E-01 -5.45044E-02
    9479.339    487.340  11.350  8.48754E-01  9.01783E-01 -5.87363E-02
    9483.673    491.674  11.400  8.49179E-01  9.00806E-01 -5.72390E-02
    9488.026    496.026  11.450  8.55439E-01  8.99830E-01 -4.92639E-02
    9492.398    500.398  11.500  8.67347E-01  8.98853E-01 -3.49997E-02
    9496.789    504.789  11.550  8.83856E-01  8.97876E-01 -1.55900E-02
    9501.199    509.199  11.600  9.03193E-01  8.96900E-01  7.00412E-03
    9505.628    513.629  11.650  9.23095E-01  8.95923E-01  3.02730E-02
    9510.076    518.077  11.700  9.41139E-01  8.94946E-01  5.15156E-02
    9514.543    522.544  11.750  9.55088E-01  8.93970E-01  6.82274E-02
    9519.030    527.030  11.800  9.63205E-01  8.92993E-01  7.84559E-02
    9523.535    531.535  11.850  9.64498E-01  8.92016E-01  8.10719E-02
    9528.059    536.060  11.900  9.58843E-01  8.91040E-01  7.59136E-02
    9532.603    540.603  11.950  9.46979E-01  8.90063E-01  6.37869E-02
    9537.165    545.166  12.000  9.30381E-01  8.89087E-01  4.63254E-02
    9541.747    549.747  12.050  9.10844E-01  8.87961E-01  2.57029E-02
    9546.347    554.348  12.100  8.90593E-01  8.86836E-01  4.22464E-03
