  9809     SPring-8 14b2 
 Fe-K_Fe3N_Si11  12.11.17 12:54 - 12.11.17 12:58
 Fe3N                                                                            
 Ring :   8.0 GeV    99.5 mA -   99.5 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle= 17.09994 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4522
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       17.00000  13.20000    -0.000840       0.05      4522
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   481.200   358.400
  16.67912  16.68735     0.051     11916      7876
  16.67828  16.68644     0.051     11924      7877
  16.67744  16.68552     0.051     11916      7876
  16.67660  16.68463     0.051     11933      7886
  16.67576  16.68371     0.051     11921      7882
  16.67492  16.68284     0.051     11930      7896
  16.67408  16.68202     0.051     11929      7897
  16.67324  16.68121     0.051     11928      7900
  16.67240  16.68046     0.051     11936      7906
  16.67156  16.67977     0.051     11926      7908
  16.67072  16.67903     0.051     11939      7914
  16.66988  16.67828     0.051     11931      7910
  16.66904  16.67748     0.051     11944      7922
  16.66820  16.67657     0.051     11939      7924
  16.66736  16.67565     0.051     11941      7925
  16.66652  16.67475     0.051     11942      7931
  16.66568  16.67383     0.051     11945      7934
  16.66484  16.67294     0.051     11949      7943
  16.66400  16.67212     0.051     11943      7941
  16.66316  16.67130     0.051     11955      7948
  16.66232  16.67055     0.051     11957      7957
  16.66148  16.66985     0.051     11960      7958
  16.66064  16.66913     0.051     11961      7968
  16.65980  16.66839     0.051     11951      7958
  16.65896  16.66760     0.051     11967      7972
  16.65812  16.66671     0.051     11956      7970
  16.65728  16.66580     0.051     11967      7975
  16.65644  16.66491     0.051     11965      7979
  16.65560  16.66399     0.051     11971      7981
  16.65476  16.66309     0.051     11970      7985
  16.65392  16.66226     0.051     11964      7990
  16.65308  16.66144     0.051     11974      7998
  16.65224  16.66067     0.051     11970      7996
  16.65140  16.65997     0.051     11977      8004
  16.65056  16.65926     0.051     11973      8009
  16.64972  16.65852     0.051     11976      8013
  16.64888  16.65775     0.051     11983      8017
  16.64804  16.65688     0.051     11975      8019
  16.64720  16.65596     0.051     11991      8026
  16.64636  16.65506     0.051     11982      8024
  16.64552  16.65415     0.051     11989      8032
  16.64468  16.65324     0.051     11988      8037
  16.64384  16.65240     0.051     11993      8041
  16.64300  16.65157     0.051     11996      8046
  16.64216  16.65079     0.051     11990      8046
  16.64132  16.65008     0.051     11998      8055
  16.64048  16.64936     0.051     11994      8054
  16.63964  16.64861     0.051     12003      8060
  16.63880  16.64785     0.051     11998      8063
  16.63796  16.64700     0.051     12001      8071
  16.63712  16.64607     0.051     12008      8076
  16.63628  16.64518     0.051     12000      8075
  16.63544  16.64426     0.051     12015      8088
  16.63460  16.64335     0.051     12008      8085
  16.63376  16.64251     0.051     12017      8093
  16.63292  16.64169     0.051     12016      8098
  16.63208  16.64089     0.051     12018      8099
  16.63124  16.64018     0.051     12025      8103
  16.63040  16.63948     0.051     12019      8106
  16.62956  16.63874     0.051     12027      8114
  16.62872  16.63799     0.051     12023      8113
  16.62788  16.63716     0.051     12034      8121
  16.62704  16.63623     0.051     12029      8123
  16.62620  16.63533     0.051     12029      8130
  16.62536  16.63443     0.051     12033      8133
  16.62452  16.63351     0.051     12034      8137
  16.62368  16.63266     0.051     12043      8146
  16.62284  16.63184     0.051     12033      8139
  16.62200  16.63103     0.051     12048      8153
  16.62116  16.63031     0.051     12044      8152
  16.62032  16.62961     0.051     12043      8156
  16.61948  16.62887     0.051     12049      8163
  16.61864  16.62813     0.051     12042      8162
  16.61780  16.62731     0.051     12057      8170
  16.61696  16.62639     0.051     12052      8175
  16.61612  16.62548     0.051     12056      8184
  16.61528  16.62458     0.051     12057      8182
  16.61444  16.62365     0.051     12063      8186
  16.61360  16.62278     0.051     12066      8192
  16.61276  16.62195     0.051     12058      8193
  16.61192  16.62114     0.051     12069      8204
  16.61108  16.62040     0.051     12063      8203
  16.61024  16.61969     0.051     12075      8210
  16.60940  16.61896     0.051     12071      8214
  16.60856  16.61821     0.051     12070      8216
  16.60772  16.61742     0.051     12081      8225
  16.60688  16.61651     0.051     12065      8220
  16.60604  16.61559     0.051     12080      8230
  16.60520  16.61470     0.051     12069      8228
  16.60436  16.61377     0.051     12078      8236
  16.60352  16.61290     0.051     12075      8239
  16.60268  16.61207     0.051     12075      8238
  16.60184  16.61125     0.051     12079      8246
  16.60100  16.61050     0.051     12072      8244
  16.60016  16.60981     0.051     12084      8252
  16.59932  16.60908     0.051     12072      8252
  16.59848  16.60833     0.051     12078      8261
  16.59764  16.60755     0.051     12074      8263
  16.59680  16.60665     0.051     12079      8266
  16.59596  16.60573     0.051     12084      8265
